online_order,book_table,rate,votes,location,rest_type,approx_cost(for two people),listed_in(type)
Yes,Yes,4.1/5,775,Banashankari,Casual Dining,800,Buffet
Yes,No,4.1/5,787,Banashankari,Casual Dining,800,Buffet
Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining",800,Buffet
No,No,3.7/5,88,Banashankari,Quick Bites,300,Buffet
No,No,3.8/5,166,Basavanagudi,Casual Dining,600,Buffet
Yes,No,3.8/5,286,Basavanagudi,Casual Dining,600,Buffet
No,No,3.6/5,8,Mysore Road,Casual Dining,800,Buffet
Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe",600,Cafes
Yes,No,4.0/5,324,Banashankari,Cafe,700,Cafes
Yes,No,4.2/5,504,Banashankari,Cafe,550,Cafes
Yes,No,4.1/5,402,Banashankari,Cafe,500,Cafes
Yes,Yes,4.2/5,150,Banashankari,Cafe,600,Cafes
Yes,Yes,4.2/5,164,Banashankari,Cafe,500,Cafes
No,No,4.0/5,424,Banashankari,Cafe,450,Cafes
Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining",800,Cafes
Yes,No,3.8/5,90,Banashankari,Cafe,650,Cafes
Yes,No,3.9/5,133,Banashankari,Cafe,800,Cafes
Yes,No,3.8/5,144,Banashankari,Cafe,700,Cafes
No,No,3.9/5,93,Banashankari,Cafe,300,Cafes
Yes,No,3.1/5,13,Banashankari,Cafe,400,Cafes
Yes,No,3.0/5,62,Banashankari,Cafe,400,Cafes
Yes,No,3.7/5,180,Banashankari,Cafe,500,Cafes
No,No,3.6/5,28,Banashankari,Cafe,900,Cafes
Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe",600,Cafes
No,No,3.7/5,31,Banashankari,Cafe,300,Cafes
No,No,3.2/5,11,Banashankari,Cafe,600,Cafes
Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites",200,Cafes
No,No,3.3/5,4,Banashankari,Cafe,500,Cafes
No,No,3.3/5,23,Banashankari,Cafe,550,Cafes
No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe",550,Cafes
Yes,No,4.0/5,219,Basavanagudi,Cafe,600,Cafes
Yes,No,2.8/5,506,Banashankari,Quick Bites,500,Delivery
Yes,No,3.9/5,35,Banashankari,Delivery,500,Delivery
Yes,No,3.9/5,172,Banashankari,Delivery,750,Delivery
Yes,No,4.2/5,415,Banashankari,Quick Bites,500,Delivery
Yes,No,3.9/5,230,Banashankari,Delivery,650,Delivery
Yes,No,2.8/5,91,Banashankari,Quick Bites,400,Delivery
Yes,No,4.2/5,1647,Banashankari,Casual Dining,600,Delivery
Yes,No,4.4/5,4884,Jayanagar,Casual Dining,750,Delivery
Yes,No,4.0/5,17,Banashankari,Quick Bites,150,Delivery
Yes,No,3.8/5,133,Basavanagudi,Quick Bites,200,Delivery
No,No,3.9/5,28,Banashankari,Mess,300,Delivery
Yes,No,3.9/5,286,Banashankari,Quick Bites,500,Delivery
Yes,No,3.9/5,540,Banashankari,Quick Bites,800,Delivery
Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe",600,Delivery
No,No,3.8/5,36,Banashankari,Delivery,400,Delivery
